state,county,state_and_county_fips_code,beneficiaries_with_part_a_and_part_b,ffs_beneficiaries,ma_beneficiaries,ma_participation_rate,average_age,total_actual_costs,actual_per_capita_costs,year
Alaska,Aleutians East,02013,69,69,0,0.00 %,70,405555.18,5877.61,2007
Alaska,Aleutians West,02016,97,97,0,0.00 %,70,836362,8622.29,2007
Alaska,Anchorage,02020,21145,20963,182,0.86 %,69,143477810.43,6844.34,2007
Alaska,Bethel,02050,881,881,0,0.00 %,71,6496577.09,7374.09,2007
Alaska,Bristol Bay,02060,0,96,0,*,70,527921.46,5499.18,2007
Alaska,Denali,02068,0,119,0,*,67,353551.94,2971.02,2007
Alaska,Dillingham,02070,323,323,0,0.00 %,71,3489521.71,10803.47,2007
Alaska,Fairbanks North Star,02090,6139,6100,39,0.64 %,70,37010985.22,6067.37,2007
Alaska,Haines,02100,0,358,0,*,71,2328849.75,6505.17,2007
Alaska,Hoonah-Angoon,02105,0,0,0,*,0,0,0,2007
Alaska,Juneau,02110,2679,2664,15,0.56 %,70,19259772,7229.64,2007
Alaska,Kenai Peninsula,02122,6170,6097,73,1.18 %,70,40041244.69,6567.37,2007
Alaska,Ketchikan Gateway,02130,0,1511,0,*,70,11934987.93,7898.73,2007
Alaska,Kodiak Island,02150,0,825,0,*,70,6805775.46,8249.42,2007
Alaska,Lake and Peninsula,02164,0,103,0,*,72,675424.59,6557.52,2007
Alaska,Matanuska-Susitna,02170,6660,6581,79,1.19 %,69,43083211.65,6546.61,2007
Alaska,Nome,02180,0,561,0,*,71,4608787.73,8215.31,2007
Alaska,North Slope,02185,0,340,0,*,71,3543361.79,10421.65,2007
Alaska,Northwest Arctic,02188,366,366,0,0.00 %,72,4207333.07,11495.45,2007
Alaska,Prince of Wales-Outer Ket,02201,0,519,0,*,69,3948833.52,7608.54,2007
Alaska,Sitka,02220,0,878,0,*,72,8710990.9,9921.4,2007
Alaska,Skagway,02230,0,0,0,*,0,0,0,2007
Alaska,Skagway-Hoonah-Angoon,02232,0,333,0,*,71,1790928.08,5378.16,2007
Alaska,Southeast Fairbanks,02240,0,709,0,*,70,4115658.94,5804.88,2007
Alaska,UNKNOWN,02999,0,0,0,*,0,0,0,2007
